Customer_ID,Age,Annual_Income,Monthly_Spend,Savings,Credit_Score,Loan_Amount,Transactions_Per_Month,Avg_Transaction_Value,Account_Tenure_Years,Online_Sessions_Per_Month,Returned_Transactions
281,41,29537,2466,22068,679,25744,31,51,9,15,1
282,47,65125,1576,9494,634,29565,31,22,14,21,1
283,59,20297,2301,15585,645,0,24,48,9,27,2
284,25,78696,1922,28412,615,7551,31,87,12,25,1
285,65,48161,1894,22410,680,21104,30,62,0,15,1
286,18,56524,1629,9839,595,36370,28,35,6,30,4
287,38,51353,1855,10504,695,37880,34,45,10,19,0
288,47,54901,2794,6925,676,62300,32,57,5,24,0
289,43,49753,1531,26134,828,9612,36,55,2,23,0
290,32,61147,989,21594,741,0,28,103,1,24,1
291,37,91559,1675,21896,666,30190,33,71,6,18,2
292,34,52762,1901,14133,711,29620,35,76,5,16,2
293,32,84728,2441,28029,683,19505,33,64,13,20,0
294,50,70899,2012,21641,682,26358,24,69,10,22,2
295,44,61326,1557,11373,585,19637,37,33,5,18,1
296,31,70802,1516,16080,733,18830,34,47,6,16,1
297,50,83368,1722,12642,748,0,30,58,9,20,5
298,43,26414,2131,23813,695,5093,29,29,0,17,1
299,49,52390,889,17413,633,21617,28,71,7,17,4
300,47,79885,2053,21247,725,19283,37,34,6,16,4
301,30,52367,2221,8354,728,15118,35,77,11,14,0
302,33,49744,1604,17215,592,0,27,71,5,22,1
303,48,47844,1835,14972,537,16049,25,94,4,21,2
304,47,51542,3019,10227,678,35312,43,54,1,21,1
305,39,47316,1695,34047,673,25149,33,23,2,23,1
306,41,56576,1837,13088,706,30849,31,52,3,24,2
307,55,33474,2151,12906,626,24742,27,89,5,20,2
308,32,51033,1184,22625,716,20626,26,53,11,15,3
309,46,52897,1991,15283,662,15086,29,61,0,26,0
310,37,28223,1805,17956,733,28343,28,64,5,26,2
311,37,52041,1819,16290,740,7823,27,54,0,19,2
312,53,66435,2090,23930,697,33392,17,57,8,20,1
313,49,49136,2189,5489,657,8335,30,114,9,17,1
314,49,44223,1363,6764,877,0,34,48,5,20,1
315,55,54548,1922,18163,608,2836,24,100,15,22,6
316,40,69821,2293,12452,647,23664,35,72,6,26,2
317,48,60113,1310,11865,695,12730,34,80,7,19,3
318,36,68644,2404,16725,758,12368,32,59,7,20,2
319,43,49908,2023,18054,569,27887,34,42,8,25,0
320,38,55342,1854,9934,632,39350,31,46,5,21,1
321,41,63805,1764,13981,787,29618,31,67,5,25,1
322,47,57176,1488,15585,588,5143,27,72,11,22,1
323,30,36319,1279,14321,677,19405,42,21,7,19,1
324,65,47144,1020,17413,730,24491,34,92,11,19,1
325,27,30343,1774,13067,645,5696,36,39,6,16,2
326,25,59731,1843,16910,700,0,27,63,3,17,2
327,53,66692,2768,7738,511,26535,39,56,5,20,4
328,49,65963,1121,24610,654,35298,33,72,9,22,4
329,47,46755,2245,9615,619,42914,19,70,9,22,1
330,47,42220,2561,16142,731,23979,24,77,6,19,0
331,39,58094,1789,4316,580,10288,26,58,3,22,1
332,29,52527,1663,13949,637,21466,29,72,7,17,3
333,40,78118,1209,31730,687,16662,35,48,8,16,0
334,31,38610,1929,33027,769,28921,19,62,7,18,1
335,51,52935,2018,20822,712,38825,30,53,7,25,1
336,38,40389,759,34187,713,31086,31,75,8,18,0
337,30,44675,2193,15624,703,0,23,88,9,22,2
338,36,65358,996,10405,732,20415,29,48,5,22,0
339,44,57515,2482,13342,654,21515,23,74,8,20,3
340,33,47840,1949,18087,739,12743,32,49,9,20,1
341,30,84046,1834,22579,633,23995,28,90,12,19,1
342,42,52253,1598,6219,799,33014,40,65,10,21,1
343,42,61846,1705,9391,716,31910,28,73,8,20,2
344,33,31520,1614,29051,701,8273,23,55,6,21,2
345,34,43727,1286,17763,653,41551,34,54,9,17,3
346,42,43767,1606,28416,649,15028,37,72,4,19,0
347,22,85138,2303,15830,655,26543,32,103,2,24,1
348,23,39521,2086,8413,650,20477,31,59,7,24,1
349,31,63819,2023,11820,688,31331,27,43,3,28,0
350,37,63231,1746,13001,613,26554,24,59,8,24,2
351,43,73311,2228,19444,688,17158,22,62,0,18,2
352,57,48159,1534,16084,593,23646,34,56,12,18,1
353,50,69173,1880,17988,724,19789,31,61,4,11,1
354,38,37402,2542,26745,763,9670,31,67,15,22,2
355,39,57451,1770,19201,596,16743,24,88,9,26,0
356,27,74637,1061,26142,537,11057,34,102,5,19,2
357,39,40582,1812,16241,611,0,29,24,3,19,3
358,36,54053,2249,14651,797,22260,26,14,6,19,4
359,43,72008,2196,25653,643,27197,32,13,11,19,3
360,30,46339,1557,30487,702,20537,46,109,2,19,1
361,46,68973,843,11178,809,18431,36,48,9,26,2
362,58,61662,749,8421,745,0,26,141,0,15,1
363,38,44249,2468,19778,522,40230,34,64,9,19,1
364,44,45728,1640,14664,747,47413,23,86,10,22,1
365,48,23103,1352,19123,601,29777,28,76,6,17,2
366,35,56174,2149,17332,707,34098,27,51,10,17,0
367,42,52885,1272,18277,744,36475,25,97,5,22,1
368,40,74767,1611,17577,696,21004,34,64,10,18,1
369,41,51923,1021,15200,632,28432,35,77,16,12,2
370,30,48456,1765,13900,654,17310,20,34,2,26,1
371,40,48582,1307,21356,679,11942,31,101,0,20,0
372,45,41317,1473,24127,630,41955,31,25,1,14,2
373,57,75399,1821,21705,682,7798,27,57,6,21,1
374,51,80154,1739,7552,689,30838,27,15,7,36,3
375,65,43623,1492,18568,693,0,25,41,0,19,1
376,30,45865,2079,7782,730,29181,30,38,6,23,1
377,50,47973,1609,10545,717,14861,26,37,10,25,1
378,42,45529,1746,13885,694,22982,32,27,0,16,1
379,66,60801,1833,4451,658,19179,21,112,9,26,3
380,30,65296,2467,21231,581,16724,32,15,0,30,1
381,29,29807,1625,6094,694,32212,34,87,0,17,0
382,32,83198,2218,17707,638,16437,31,43,4,24,0
383,18,60126,1162,5829,708,26759,23,48,2,23,3
384,33,40483,2019,4372,599,18935,33,5,11,15,0
385,30,40594,935,3991,785,10397,38,44,8,12,0
386,41,44742,2091,26598,737,14443,31,33,6,21,0
387,44,57534,2213,19742,509,36397,35,44,9,27,1
388,62,92395,879,251,664,17857,31,64,8,17,0
389,51,78927,695,23733,687,0,35,24,6,17,2
390,33,57003,1448,11601,482,18500,25,21,9,14,2
391,29,56154,2043,18676,738,29044,36,56,6,12,1
392,45,39054,1687,12888,714,6468,47,74,7,19,2
393,24,54350,1819,10951,799,14390,37,105,8,15,0
394,61,60831,2474,17074,720,24098,34,73,6,18,1
395,54,44867,1846,10578,804,8154,27,49,6,16,1
396,34,36277,1576,13797,681,30854,19,17,4,22,3
397,19,60814,1653,13734,691,15432,18,42,2,15,2
398,56,50314,2334,1548,669,12665,35,57,7,18,1
399,38,57223,2960,20164,639,48175,28,66,6,19,0
400,54,71436,2960,19411,706,31739,36,11,7,14,2
401,20,48020,3179,12648,523,5988,38,67,4,16,3
402,32,25802,774,18425,777,30058,30,70,5,18,3
403,40,60739,1511,26803,758,30128,40,37,2,29,0
404,40,72730,1708,12450,659,7796,27,49,7,22,1
405,34,47784,2295,18561,749,3627,31,59,5,15,1
406,47,59495,2471,19125,517,0,30,31,6,13,0
407,27,34792,2940,17480,740,21076,24,55,3,9,0
408,38,23170,1440,13420,542,20045,25,55,6,29,1
409,41,67633,1904,17544,584,4299,30,36,6,18,0
410,46,37554,1736,28239,686,27316,31,46,1,21,1
411,48,45019,2044,19617,679,26999,32,35,7,14,1
412,26,57953,1700,10626,743,6419,23,100,10,13,0
413,21,60866,1928,25326,658,6066,30,23,4,20,3
414,55,53646,1445,18024,696,4313,21,71,7,18,1
415,43,67554,1489,9651,647,13384,40,22,0,15,1
416,31,30466,1285,11270,616,2427,38,62,4,24,0
417,58,55279,2126,30633,679,29934,25,44,6,31,2
418,41,55032,2033,12887,729,8241,42,35,7,19,2
419,54,65124,1751,6604,567,37378,33,61,7,25,0
420,40,43332,1398,2180,712,7091,40,59,5,17,2
421,64,58665,1037,12061,668,6031,33,41,4,13,4
422,61,62196,1843,17744,589,11619,33,78,14,23,2
423,37,67830,1425,27854,858,2642,33,106,1,19,2
424,51,84494,2293,15616,703,3218,25,114,11,18,1
425,47,40582,1752,21361,668,26367,28,57,9,19,0
426,56,49406,1562,7565,727,14583,32,82,5,9,0
427,28,25295,2817,18201,732,15106,30,13,6,11,1
428,48,26334,1981,21376,572,1288,22,93,4,20,0
429,52,61932,2222,16605,769,19202,29,72,10,20,2
430,18,60155,1430,20529,682,1639,30,93,6,20,1
431,25,76828,1614,15302,713,18777,20,33,8,16,1
432,18,78695,1616,33051,670,32994,31,54,13,23,2
433,36,32936,1611,0,647,19888,36,31,7,22,1
434,48,44901,1862,24721,703,30395,20,38,5,18,3
435,58,62731,2605,19528,584,32521,32,69,11,22,2
436,40,67887,1616,21414,724,27733,25,88,9,26,1
437,59,39464,1982,19237,642,14392,44,43,3,28,1
438,23,34814,1439,8038,589,11780,33,81,4,9,1
439,19,54192,1826,6280,580,8936,24,80,13,22,2
440,39,35447,2305,20532,653,32909,37,29,12,20,3
441,44,59269,2225,21288,578,0,34,54,8,16,2
442,39,58597,1861,36550,684,7914,35,60,10,25,2
443,18,47811,2310,18780,744,0,30,80,9,26,1
444,38,31680,1470,4946,618,32512,26,83,12,23,5
445,24,53431,1051,33440,772,0,42,25,10,22,1
446,48,68413,1353,28154,675,17077,28,10,6,19,1
447,44,50050,2323,12249,677,36880,21,36,5,17,2
448,28,45889,2621,7090,642,13242,18,101,11,25,2
449,33,36460,2757,7693,569,28181,35,111,9,24,3
450,27,54823,1683,20620,662,33225,37,22,5,10,1
451,39,35497,2331,28441,575,20027,28,64,5,26,1
452,51,71636,1681,16468,683,41124,34,56,10,23,4
453,28,54229,2013,22650,698,2662,37,40,0,16,0
454,46,53873,1926,2584,672,0,31,64,10,7,0
455,33,51000,2244,30858,706,22276,26,58,12,27,4
456,30,43894,2986,13636,666,45342,30,60,5,15,2
457,38,61754,933,13312,687,15392,26,73,10,27,1
458,27,59149,1381,18530,635,3735,23,49,3,16,0
459,33,85421,1828,6550,675,38127,19,5,0,20,2
460,25,59294,1914,3205,753,55996,29,41,12,19,2
461,63,81495,2366,18217,588,20771,29,37,12,22,0
462,40,40036,1396,12866,658,8132,26,77,4,10,1
463,31,48849,2098,5468,687,0,19,108,11,16,3
464,42,65380,2216,5709,765,30986,25,20,4,19,2
465,38,78694,1298,27480,728,14614,29,38,5,17,0
466,37,47774,1757,12562,790,5620,19,73,10,29,1
467,47,41032,894,12095,767,25435,26,86,5,23,2
468,49,77783,2033,11103,644,24618,26,93,10,27,2
469,33,78599,825,1758,637,31830,28,23,7,21,3
470,33,28184,1782,9917,595,23698,34,55,2,16,1
471,36,68955,1009,10661,605,3124,27,85,6,18,2
472,18,57503,2673,26633,682,30755,30,47,3,23,4
473,21,44486,2121,11517,660,31571,26,85,13,10,1
474,56,50182,1637,10533,726,29533,35,44,7,15,1
475,59,44157,2007,14690,703,21547,27,74,8,19,3
476,37,53149,1518,9274,705,22762,24,74,2,23,2
477,46,69292,2665,26190,629,0,29,20,6,17,1
478,43,74048,2028,6665,626,10848,29,73,0,27,1
479,76,409250,8070,125915,382,219000,35,64,3,23,0
480,53,51204,1590,8451,721,2059,27,111,2,12,0
481,38,64154,2383,27169,530,6144,37,42,6,25,1
482,28,58351,1854,14175,757,20108,33,10,6,24,3
483,20,57112,1588,30130,733,40550,30,90,13,14,0
484,42,70459,1628,7085,732,18922,35,33,0,30,1
485,30,69341,1486,22629,760,28095,34,37,8,20,2
486,22,56815,1489,6268,686,19061,19,69,11,13,0
487,32,47993,1772,19023,601,35227,35,67,2,22,0
488,27,56368,2715,12991,593,32041,33,59,3,16,1
489,60,47455,1383,5386,858,28928,43,52,8,24,2
490,50,56878,2207,16543,698,8138,27,35,2,11,2
491,39,49158,1544,5294,709,10761,28,83,0,24,2
492,57,77269,1174,22760,744,3813,25,72,8,14,3
493,40,62681,2340,14096,603,0,22,100,15,13,2
494,29,66670,1663,23546,757,10793,33,37,5,23,3
495,58,47066,2105,10024,745,35508,28,75,7,21,1
496,46,60002,2523,4331,522,14910,17,99,6,17,2
